name,alpha3_code,region_code,region_name,subregion_code,subregion_name,intermediate_region_code,intermediate_region_name,m49_code,continent,dev_least_developed,dev_landlocked,dev_sids,developing,currency_code
Honduras,HND,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,340.0,South America,False,False,False,True,HNL
Mexico,MEX,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,484.0,South America,False,False,False,True,MXN
Nicaragua,NIC,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,558.0,South America,False,False,False,True,NIO
Panama,PAN,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America,591.0,South America,False,False,False,True,PAB
Argentina,ARG,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,32.0,South America,False,False,False,True,ARS
Bolivia,BOL,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,68.0,South America,False,True,False,True,BOB
Bouvet Island,BVT,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,74.0,South America,False,False,False,True,
Brazil,BRA,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,76.0,South America,False,False,False,True,BRL
Chile,CHL,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,152.0,South America,False,False,False,True,CLP
Colombia,COL,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,170.0,South America,False,False,False,True,COP
Ecuador,ECU,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,218.0,South America,False,False,False,True,ECS
Falkland Islands (Malvinas),FLK,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,238.0,South America,False,False,False,True,
French Guiana,GUF,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,254.0,South America,False,False,False,True,
Guyana,GUY,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,328.0,South America,False,False,True,True,GYD
Paraguay,PRY,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,600.0,South America,False,True,False,True,PYG
Peru,PER,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,604.0,South America,False,False,False,True,PEN
South Georgia and the South Sandwich Islands,SGS,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,239.0,South America,False,False,False,True,
Suriname,SUR,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,740.0,South America,False,False,True,True,SRD
Uruguay,URY,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,858.0,South America,False,False,False,True,UYU
Venezuela,VEN,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America,862.0,South America,False,False,False,True,VEF
Bermuda,BMU,19.0,Americas,21.0,Northern America,,,60.0,North America,False,False,False,False,BMD
Canada,CAN,19.0,Americas,21.0,Northern America,,,124.0,North America,False,False,False,False,CAD
Greenland,GRL,19.0,Americas,21.0,Northern America,,,304.0,North America,False,False,False,False,
Saint Pierre and Miquelon,SPM,19.0,Americas,21.0,Northern America,,,666.0,North America,False,False,False,False,
United States of America,USA,19.0,Americas,21.0,Northern America,,,840.0,North America,False,False,False,False,USD
Kazakhstan,KAZ,142.0,Asia,143.0,Central Asia,,,398.0,Asia,False,True,False,True,KZT
Kyrgyzstan,KGZ,142.0,Asia,143.0,Central Asia,,,417.0,Asia,False,True,False,True,KGS
Tajikistan,TJK,142.0,Asia,143.0,Central Asia,,,762.0,Asia,False,True,False,True,TJS
Turkmenistan,TKM,142.0,Asia,143.0,Central Asia,,,795.0,Asia,False,True,False,True,TMT
Uzbekistan,UZB,142.0,Asia,143.0,Central Asia,,,860.0,Asia,False,True,False,True,UZS
China,CHN,142.0,Asia,30.0,Eastern Asia,,,156.0,Asia,False,False,False,True,CNY
Hong Kong,HKG,142.0,Asia,30.0,Eastern Asia,,,344.0,Asia,False,False,False,True,HKD
"China, Macao Special Administrative Region",MAC,142.0,Asia,30.0,Eastern Asia,,,446.0,Asia,False,False,False,True,MOP
North Korea,PRK,142.0,Asia,30.0,Eastern Asia,,,408.0,Asia,False,False,False,True,KPW
Japan,JPN,142.0,Asia,30.0,Eastern Asia,,,392.0,Asia,False,False,False,False,JPY
Mongolia,MNG,142.0,Asia,30.0,Eastern Asia,,,496.0,Asia,False,True,False,True,MNT
South Korea,KOR,142.0,Asia,30.0,Eastern Asia,,,410.0,Asia,False,False,False,True,KRW
Brunei Darussalam,BRN,142.0,Asia,35.0,South-eastern Asia,,,96.0,Asia,False,False,False,True,BND
Cambodia,KHM,142.0,Asia,35.0,South-eastern Asia,,,116.0,Asia,True,False,False,True,KHR
Indonesia,IDN,142.0,Asia,35.0,South-eastern Asia,,,360.0,Asia,False,False,False,True,IDR
Laos,LAO,142.0,Asia,35.0,South-eastern Asia,,,418.0,Asia,True,True,False,True,LAK
Malaysia,MYS,142.0,Asia,35.0,South-eastern Asia,,,458.0,Asia,False,False,False,True,MYR
Myanmar,MMR,142.0,Asia,35.0,South-eastern Asia,,,104.0,Asia,True,False,False,True,MMK
Philippines,PHL,142.0,Asia,35.0,South-eastern Asia,,,608.0,Asia,False,False,False,True,PHP
